"T_c (C)";"q_dot_in (MW)";"q_dot_solar (MW)";"q_dot_out (MW)";"T_amb (°C)";"I (W/m2)";"phi (eur/Wh)"
343.3087233793;0.7895;0.0000;0.7573;6.1;0;0.0000
341.8471397497;0.7874;0.0000;0.7557;4.4;0;0.0000
341.2922133894;0.7868;0.0000;0.7549;3.9;0;0.0000
340.7399473566;0.7860;0.0000;0.7543;3.3;0;0.0000
340.2737520977;0.7854;0.0000;0.7538;2.8;0;0.0000
340.2263405465;0.7854;0.0000;0.7536;2.8;0;0.0000
339.3163449083;0.7840;0.0000;0.7527;1.7;0;0.0000
339.2274478458;0.7840;0.0000;0.7525;1.7;0;0.0000
338.3110882171;0.7826;0.0000;0.7516;0.6;0;0.0000
339.1618832221;0.7826;0.0041;0.7537;0.6;5;0.0000
388.8606506578;0.7833;0.2224;0.8777;1.1;272;2.4231
448.6400827061;0.7889;0.4676;1.0214;5.6;572;0.9847
458.3727534046;0.7931;0.4717;1.0416;8.9;577;0.9208
489.9779930268;0.7952;0.6377;1.1191;10.6;780;0.7066
465.4050487958;0.7966;0.4742;1.0558;11.7;580;0.8831
488.6370019457;0.7972;0.6197;1.1137;12.2;758;0.7232
501.4537813774;0.7986;0.6769;1.1448;13.3;828;0.6612
482.9945668588;0.7986;0.5592;1.0981;13.3;684;0.7643
438.5117406259;0.7972;0.3376;0.9878;12.2;413;1.2013
376.6572014405;0.7952;0.0793;0.8354;10.6;97;5.6918
347.9657819892;0.7909;0.0000;0.7677;7.2;0;0.0000
343.6857002953;0.7895;0.0000;0.7582;6.1;0;0.0000
341.8787872137;0.7874;0.0000;0.7558;4.4;0;0.0000
341.7050158495;0.7874;0.0000;0.7554;4.4;0;0.0000
339.8766112855;0.7846;0.0000;0.7535;2.2;0;0.0000
338.3831426292;0.7826;0.0000;0.7517;0.6;0;0.0000
338.2301358412;0.7826;0.0000;0.7514;0.6;0;0.0000
338.2100138836;0.7826;0.0000;0.7513;0.6;0;0.0000
337.7147059497;0.7819;0.0000;0.7508;0;0;0.0000
338.5707142173;0.7833;0.0000;0.7516;1.1;0;0.0000
339.5565163353;0.7846;0.0000;0.7527;2.2;0;0.0000
337.8480081788;0.7819;0.0000;0.7512;0;0;0.0000
337.684479067;0.7819;0.0000;0.7507;0;0;0.0000
338.5310185425;0.7826;0.0016;0.7521;0.6;2;0.0000
393.5437340936;0.7826;0.2461;0.8900;0.6;301;2.1314
412.5896561165;0.7840;0.3000;0.9361;1.7;367;1.5048
487.7614569926;0.7903;0.6671;1.1185;6.7;816;0.6975
510.3833170399;0.7944;0.7464;1.1716;10;913;0.6069
523.4565849124;0.7966;0.8118;1.2027;11.7;993;0.5636
525.4062638071;0.7986;0.8093;1.2056;13.3;990;0.5623
518.8688122146;0.8000;0.7595;1.1876;14.4;929;0.5905
493.9214037617;0.8015;0.6025;1.1228;15.6;737;0.7124
455.8669987911;0.8015;0.4071;1.0270;15.6;498;1.0152
396.6991411718;0.7986;0.1504;0.8821;13.3;184;2.7425
351.8516857703;0.7931;0.0000;0.7753;8.9;0;0.0000
345.4629468205;0.7917;0.0000;0.7606;7.8;0;0.0000
342.0533479885;0.7874;0.0000;0.7562;4.4;0;0.0000
341.3164749339;0.7868;0.0000;0.7550;3.9;0;0.0000
338.9347280338;0.7833;0.0000;0.7525;1.1;0;0.0000
339.1936061283;0.7840;0.0000;0.7524;1.7;0;0.0000
339.2100000552;0.7840;0.0000;0.7525;1.7;0;0.0000
339.6243525738;0.7846;0.0000;0.7529;2.2;0;0.0000
336.4582776914;0.7797;0.0000;0.7498;-1.7;0;0.0000
336.1499551812;0.7797;0.0000;0.7490;-1.7;0;0.0000
337.0123327048;0.7811;0.0000;0.7498;-0.6;0;0.0000
336.6853444005;0.7805;0.0000;0.7496;-1.1;0;0.0000
337.5617439912;0.7819;0.0000;0.7504;0;0;0.0000
340.7356039166;0.7840;0.0074;0.7563;1.7;9;0.0000
434.3836419779;0.7840;0.4374;0.9906;1.7;535;1.1082
481.0130382063;0.7874;0.6229;1.1043;4.4;762;0.7223
507.9016072019;0.7923;0.7423;1.1675;8.3;908;0.6102
521.4397071019;0.7952;0.8044;1.1990;10.6;984;0.5669
527.3761863997;0.7986;0.8240;1.2107;13.3;1008;0.5555
524.8423320892;0.8007;0.7954;1.2020;15;973;0.5704
508.0529602351;0.8015;0.6851;1.1586;15.6;838;0.6410
477.4052396803;0.8021;0.5126;1.0805;16.1;627;0.8223
461.4698200319;0.8007;0.4496;1.0418;15;550;0.9496
376.4311359378;0.7972;0.0589;0.8329;12.2;72;6.4221
349.6125462431;0.7937;0.0000;0.7690;9.4;0;0.0000
345.240748233;0.7917;0.0000;0.7600;7.8;0;0.0000
343.9248207096;0.7903;0.0000;0.7581;6.7;0;0.0000
343.3050128802;0.7895;0.0000;0.7573;6.1;0;0.0000
344.1439688035;0.7909;0.0000;0.7580;7.2;0;0.0000
343.8137205501;0.7903;0.0000;0.7578;6.7;0;0.0000
342.8827607006;0.7889;0.0000;0.7568;5.6;0;0.0000
344.1029743319;0.7909;0.0000;0.7579;7.2;0;0.0000
342.9058050747;0.7889;0.0000;0.7569;5.6;0;0.0000
340.9063352252;0.7860;0.0000;0.7547;3.3;0;0.0000
339.802610152;0.7846;0.0000;0.7533;2.2;0;0.0000
340.5910192861;0.7860;0.0000;0.7539;3.3;0;0.0000
339.3500014252;0.7840;0.0000;0.7528;1.7;0;0.0000
338.3281636389;0.7826;0.0000;0.7516;0.6;0;0.0000
